cfg_wr_period,cfg_wr_thresh,cfg_sma_period,cfg_mfi_filter,cfg_rsi_filter,cfg_vol_filter,cfg_dd_filter,cfg_streak_filter,cfg_exit_mode,cfg_max_hold,cfg_profit_target,label,is_n,is_avg,is_win,is_sharpe,is_pf,oos_n,oos_avg,oos_win,oos_sharpe,oos_pf,avg_hold,avg_peak,avg_dd,cfg_stop_loss,cfg_trail_atr,cfg_hold_days,cfg_breadth_mode
30,-30,20,accumulating,,not_dry,deep,,bbw_pt,30.0,3.0,"WR(30,-30) | MFI:accumulating | VOL:not_dry | DD:deep | bbw_pt | PT3%",19,2.8123,84.2,3.84,4.97,13,2.8556,92.3,5.52,9.12,6.8,3.48,-2.19,,,,
30,-40,20,accumulating,,not_dry,deep,,bbw_pt,30.0,3.0,"WR(30,-40) | MFI:accumulating | VOL:not_dry | DD:deep | bbw_pt | PT3%",19,2.8123,84.2,3.84,4.97,13,2.8556,92.3,5.52,9.12,6.8,3.48,-2.19,,,,
30,-30,20,accumulating,,,deep,,bbw_pt,30.0,3.0,"WR(30,-30) | MFI:accumulating | DD:deep | bbw_pt | PT3%",19,2.8123,84.2,3.84,4.97,14,3.3364,92.9,5.5,11.22,6.6,3.67,-2.12,,,,
30,-40,20,accumulating,,,deep,,bbw_pt,30.0,3.0,"WR(30,-40) | MFI:accumulating | DD:deep | bbw_pt | PT3%",19,2.8123,84.2,3.84,4.97,14,3.3364,92.9,5.5,11.22,6.6,3.67,-2.12,,,,
30,-30,20,accumulating,,,deep,,bbw_pt,30.0,5.0,"WR(30,-30) | MFI:accumulating | DD:deep | bbw_pt | PT5%",18,3.5825,77.8,3.94,6.08,12,3.3758,91.7,5.29,9.86,8.2,4.46,-2.4,,,,
30,-40,20,accumulating,,,deep,,bbw_pt,30.0,5.0,"WR(30,-40) | MFI:accumulating | DD:deep | bbw_pt | PT5%",18,3.5825,77.8,3.94,6.08,12,3.3758,91.7,5.29,9.86,8.2,4.46,-2.4,,,,
30,-30,20,accumulating,,not_dry,deep,,bbw_pt,30.0,5.0,"WR(30,-30) | MFI:accumulating | VOL:not_dry | DD:deep | bbw_pt | PT5%",17,3.7144,76.5,3.99,5.97,12,2.6886,91.7,5.14,8.06,8.4,4.28,-2.48,,,,
30,-40,20,accumulating,,not_dry,deep,,bbw_pt,30.0,5.0,"WR(30,-40) | MFI:accumulating | VOL:not_dry | DD:deep | bbw_pt | PT5%",17,3.7144,76.5,3.99,5.97,12,2.6886,91.7,5.14,8.06,8.4,4.28,-2.48,,,,
30,-40,20,accumulating,,,moderate,,bbw_pt,30.0,5.0,"WR(30,-40) | MFI:accumulating | DD:moderate | bbw_pt | PT5%",33,1.6656,78.8,1.51,2.28,23,3.3471,87.0,4.99,10.06,9.0,3.73,-2.82,,,,
30,-30,20,accumulating,,,moderate,,bbw_pt,30.0,5.0,"WR(30,-30) | MFI:accumulating | DD:moderate | bbw_pt | PT5%",33,1.5414,78.8,1.43,2.18,23,3.1417,87.0,4.9,9.5,9.0,3.57,-2.91,,,,
30,-40,20,accumulating,,not_dry,moderate,,bbw_pt,30.0,5.0,"WR(30,-40) | MFI:accumulating | VOL:not_dry | DD:moderate | bbw_pt | PT5%",33,1.6656,78.8,1.51,2.28,22,3.0635,86.4,4.86,8.93,9.1,3.62,-2.88,,,,
30,-30,20,accumulating,,not_dry,moderate,,bbw_pt,30.0,5.0,"WR(30,-30) | MFI:accumulating | VOL:not_dry | DD:moderate | bbw_pt | PT5%",33,1.5414,78.8,1.43,2.18,22,2.8487,86.4,4.8,8.37,9.2,3.46,-2.96,,,,
30,-40,20,accumulating,,not_dry,moderate,,bbw_pt,30.0,3.0,"WR(30,-40) | MFI:accumulating | VOL:not_dry | DD:moderate | bbw_pt | PT3%",37,1.8294,86.5,1.7,2.5,25,2.5447,84.0,4.75,7.54,7.4,3.13,-2.54,,,,
30,-30,20,accumulating,,not_dry,moderate,,bbw_pt,30.0,3.0,"WR(30,-30) | MFI:accumulating | VOL:not_dry | DD:moderate | bbw_pt | PT3%",36,1.703,86.1,1.57,2.36,25,2.5243,84.0,4.73,7.49,7.7,3.08,-2.7,,,,
30,-40,20,accumulating,,,moderate,,bbw_pt,30.0,3.0,"WR(30,-40) | MFI:accumulating | DD:moderate | bbw_pt | PT3%",37,1.8429,86.5,1.72,2.51,25,2.7798,84.0,4.62,8.15,7.5,3.24,-2.57,,,,
30,-30,20,accumulating,,,moderate,,bbw_pt,30.0,3.0,"WR(30,-30) | MFI:accumulating | DD:moderate | bbw_pt | PT3%",37,1.8066,86.5,1.67,2.48,25,2.6864,84.0,4.55,7.91,7.6,3.18,-2.66,,,,
30,-30,20,accumulating,,,deep,,bbw_contract,30.0,,"WR(30,-30) | MFI:accumulating | DD:deep | bbw_contract",15,5.0608,73.3,2.91,6.98,11,2.4134,90.9,4.52,6.81,12.3,5.98,-2.77,,,,
30,-30,20,accumulating,,,deep,,bbw_contract,30.0,,"WR(30,-30) | MFI:accumulating | DD:deep | bbw_contract | SL8%",16,4.6198,75.0,2.64,5.98,11,2.4134,90.9,4.52,6.81,11.7,5.76,-2.76,8.0,,,
30,-30,20,accumulating,,not_dry,deep,,bbw_contract,30.0,,"WR(30,-30) | MFI:accumulating | VOL:not_dry | DD:deep | bbw_contract",15,5.0608,73.3,2.91,6.98,11,2.4134,90.9,4.52,6.81,12.3,5.98,-2.77,,,,
30,-30,20,accumulating,,not_dry,deep,,bbw_contract,30.0,,"WR(30,-30) | MFI:accumulating | VOL:not_dry | DD:deep | bbw_contract | SL8%",16,4.6198,75.0,2.64,5.98,11,2.4134,90.9,4.52,6.81,11.7,5.76,-2.76,8.0,,,
30,-40,20,accumulating,,,deep,,bbw_contract,30.0,,"WR(30,-40) | MFI:accumulating | DD:deep | bbw_contract",15,5.0608,73.3,2.91,6.98,11,2.4134,90.9,4.52,6.81,12.3,5.98,-2.77,,,,
30,-40,20,accumulating,,,deep,,bbw_contract,30.0,,"WR(30,-40) | MFI:accumulating | DD:deep | bbw_contract | SL8%",16,4.6198,75.0,2.64,5.98,11,2.4134,90.9,4.52,6.81,11.7,5.76,-2.76,8.0,,,
30,-40,20,accumulating,,not_dry,deep,,bbw_contract,30.0,,"WR(30,-40) | MFI:accumulating | VOL:not_dry | DD:deep | bbw_contract",15,5.0608,73.3,2.91,6.98,11,2.4134,90.9,4.52,6.81,12.3,5.98,-2.77,,,,
30,-40,20,accumulating,,not_dry,deep,,bbw_contract,30.0,,"WR(30,-40) | MFI:accumulating | VOL:not_dry | DD:deep | bbw_contract | SL8%",16,4.6198,75.0,2.64,5.98,11,2.4134,90.9,4.52,6.81,11.7,5.76,-2.76,8.0,,,
