,date,symbol,close,daily_bias,daily_bias_pct,bb_position,bb_pct,position_state,vol_state,bb_width_pctl,bb_squeezing,wr_value,wr_in_momentum,wr_trend,wr_phase,wr_bars_since_cross50,entry_valid,adv_cr,mfi_value,mfi_state,mfi_diverge,mfi_reliable,momentum_pass,full_entry,fwd_1d,fwd_3d,fwd_5d,fwd_10d,fwd_20d,fwd_max_dd_5d,fwd_max_up_5d
0,2021-10-05,SYN000,2172.1611394564693,BULLISH,3.8468460273471865,above_upper,1.3354242046377542,RIDING_UPPER,SQUEEZE,13.88888888888889,True,-15.713130144621605,True,rising,FRESH,2,True,2107.9,48.24,NEUTRAL,False,False,True,True,3.5388695665830916,6.937211319006731,-0.9159596822772564,-0.2143604232731633,11.117977868415462,-0.9159596822772564,6.937211319006731
1,2021-10-12,SYN000,2152.265019184954,BULLISH,0.5854697931588763,riding,0.5759302213867759,FIRST_DIP,NORMAL,70.12987012987013,False,-50.89164244574882,False,falling,NONE,7,False,2162.7,70.44,STRONG,False,False,False,False,2.243531276683952,-2.700793206281582,0.7080850324172605,-0.734573643891856,1.3015816104851474,-3.049925094784889,2.243531276683952
2,2021-10-19,SYN000,2167.504885643755,BULLISH,1.081793572676329,riding,0.6387970084960557,CONSOLIDATING,NORMAL,69.51219512195121,False,-46.626407173322576,False,rising,NONE,1,False,2147.39,81.88,STRONG,False,False,False,False,-1.8202638473394428,-1.9729322144077965,-1.4325152502351113,11.35668252441775,2.62263331235153,-4.336088673797001,-0.5733722505066319
3,2021-10-26,SYN000,2136.4550476073173,BEARISH,-0.9001814521236235,below_mid,0.3719212392460727,MID_BAND_BROKEN,NORMAL,56.32183908045977,False,-55.31643505212025,False,falling,NONE,6,False,2112.73,69.02,RISING,True,False,False,False,3.224346939001732,11.62508317337847,12.97506759670397,2.0512229978969954,14.831593792153953,3.224346939001732,13.540382337142454
4,2021-11-02,SYN000,2413.6615342075606,BULLISH,9.04250010562508,above_upper,1.424085306628033,RIDING_UPPER,EXPANDED,86.95652173913044,False,-4.856666623516063,True,falling,DEVELOPING,4,True,2202.5,62.05,RISING,True,False,True,True,-0.432794181985241,-5.835418972808348,-9.66925254499752,-7.843309457563152,-2.4163888934917943,-9.66925254499752,-0.432794181985241
5,2021-11-09,SYN000,2180.27850488357,BEARISH,-1.8039814793313742,below_mid,0.3226424060230394,MID_BAND_BROKEN,EXPANDED,84.5360824742268,False,-55.68461871446767,False,falling,NONE,9,False,1727.71,45.93,NEUTRAL,False,False,False,False,-0.07653867880359488,1.6738624336647856,2.02139707561253,12.523486165883902,6.114206260366872,-1.280105618191285,3.98575000949839
6,2021-11-16,SYN000,2224.350590821495,BEARISH,-0.5645117883886762,below_mid,0.43912189776955357,MID_BAND_BROKEN,NORMAL,75.0,False,-46.093382277221316,False,rising,NONE,0,False,2098.46,39.3,FALLING,False,False,False,False,1.9196707173446015,6.918197023307604,10.294006347009521,5.888797147693081,-2.0818456156996623,1.9196707173446015,11.362622218134044
7,2021-11-23,SYN000,2453.325381820404,BULLISH,6.371427683190918,above_upper,1.211393413665175,RIDING_UPPER,NORMAL,68.0,False,-5.481943092765405,True,rising,DEVELOPING,5,True,2118.32,47.17,NEUTRAL,False,False,True,True,0.24795086428106572,-4.5180529638513605,-3.99406037120158,-5.695948573854492,-9.651436460383522,-5.017832973661374,0.24795086428106572
8,2021-11-30,SYN000,2355.3380849684854,BULLISH,1.7444841934659123,riding,0.7020865927694718,RIDING_UPPER,NORMAL,62.0,False,-26.72162668235025,False,rising,NONE,10,False,2464.73,38.97,FALLING,False,False,False,False,0.1318750189875706,1.934775070814676,-1.772690532724508,-7.52737114604799,-9.798083664024592,-1.772690532724508,1.934775070814676
9,2021-12-07,SYN000,2313.5852297225942,BEARISH,-0.849772545325605,below_mid,0.3928854573947189,MID_BAND_BROKEN,NORMAL,59.0,False,-37.01959623969688,False,flat,NONE,15,False,2783.51,49.19,NEUTRAL,False,False,False,False,-0.8029058312625459,-5.349818482297486,-5.8585342961477105,-4.194398678223044,-12.861505581090737,-5.8585342961477105,-0.8029058312625459
