cfg_wr_period,cfg_wr_thresh,cfg_sma_period,cfg_mfi_filter,cfg_bbw_filter,cfg_adx_filter,cfg_adx_mode,cfg_exit_mode,cfg_max_hold,label,is_n,is_avg,is_win,is_sharpe,is_pf,oos_n,oos_avg,oos_win,oos_sharpe,oos_pf,avg_hold,avg_peak,avg_dd,cfg_hold_days
14,-50,20,accumulating,not_expanded,20.0,above,bbw_contract,30.0,"WR(14,-50) SMA20 MFI:accumulating BBW:not_expanded ADXa20 bbw_contract",20,1.2728,65.0,0.8,1.87,14,2.8109,100.0,6.66,0.0,12.4,3.66,-3.15,
30,-50,10,accumulating,not_expanded,20.0,above,bbw_contract,30.0,"WR(30,-50) SMA10 MFI:accumulating BBW:not_expanded ADXa20 bbw_contract",18,1.6137,61.1,0.98,2.09,12,2.2147,91.7,6.17,55.89,11.5,3.95,-2.75,
30,-50,20,accumulating,not_expanded,20.0,above,fixed,,"WR(30,-50) SMA20 MFI:accumulating BBW:not_expanded ADXa20 fixed20",16,3.0156,56.2,1.97,2.62,11,2.7223,72.7,5.93,20.79,20.0,6.17,-2.96,20.0
14,-40,20,accumulating,not_expanded,20.0,above,bbw_contract,30.0,"WR(14,-40) SMA20 MFI:accumulating BBW:not_expanded ADXa20 bbw_contract",21,1.2597,66.7,0.81,1.9,14,2.6737,92.9,5.89,47.98,12.4,3.53,-3.14,
30,-30,20,accumulating,not_expanded,20.0,above,bbw_contract,30.0,"WR(30,-30) SMA20 MFI:accumulating BBW:not_expanded ADXa20 bbw_contract",21,1.3164,66.7,0.85,1.95,14,2.6737,92.9,5.89,47.98,12.2,3.6,-3.06,
30,-50,20,accumulating,not_expanded,20.0,above,bbw_contract,30.0,"WR(30,-50) SMA20 MFI:accumulating BBW:not_expanded ADXa20 bbw_contract",17,2.2841,70.6,1.3,2.64,12,2.7485,91.7,5.7,42.39,12.6,4.32,-2.87,
30,-40,20,accumulating,not_expanded,20.0,above,fixed,,"WR(30,-40) SMA20 MFI:accumulating BBW:not_expanded ADXa20 fixed20",16,2.6046,56.2,1.83,2.4,12,2.5541,75.0,5.63,21.26,20.0,5.8,-3.01,20.0
20,-30,20,,squeeze,20.0,above,bbw_contract,30.0,"WR(20,-30) SMA20 BBW:squeeze ADXa20 bbw_contract",15,0.8225,80.0,3.34,4.9,10,1.9826,100.0,5.62,0.0,11.4,2.67,-2.28,
14,-30,20,accumulating,not_expanded,20.0,above,bbw_contract,30.0,"WR(14,-30) SMA20 MFI:accumulating BBW:not_expanded ADXa20 bbw_contract",21,1.2951,66.7,0.84,1.93,15,2.5314,93.3,5.61,48.66,12.2,3.51,-3.05,
20,-30,20,accumulating,not_expanded,20.0,above,bbw_contract,30.0,"WR(20,-30) SMA20 MFI:accumulating BBW:not_expanded ADXa20 bbw_contract",21,1.2951,66.7,0.84,1.93,15,2.5314,93.3,5.61,48.66,12.2,3.51,-3.05,
