,wr_phase_n,position_state_n,vol_state_n,daily_bias_n,mfi_state_n,bb_position_n,entry_valid_n,mfi_diverge_n,bb_width_pctl,adv_cr
wr_phase_n,1.0,0.5353477313810788,-0.16878130425437496,0.48497021131467516,0.37598486811945864,0.540915116376641,0.8766023859420062,0.0715719985701651,0.1529948792934928,0.06531755140380584
position_state_n,0.5353477313810788,1.0,-0.10390516460504243,0.9442916567628783,0.5004264567561819,0.9545942158050409,0.612172414503598,0.11796123774650333,0.06317282410549632,0.12328455171927108
vol_state_n,-0.16878130425437496,-0.10390516460504243,1.0,-0.06245968154759737,-0.15071718386284,-0.06874758234036067,-0.19430135991780667,0.0773590413621699,-0.9024729855014486,0.14974262837880836
daily_bias_n,0.48497021131467516,0.9442916567628783,-0.06245968154759737,1.0,0.5051551523261872,0.9448003977300649,0.5656601988947314,0.11416953428890274,0.026691070886501075,0.11304707727558783
mfi_state_n,0.37598486811945864,0.5004264567561819,-0.15071718386284,0.5051551523261872,1.0,0.5277913961177412,0.39250138661149536,-0.03974397479456412,0.12666108840147386,0.07107652484735914
bb_position_n,0.540915116376641,0.9545942158050409,-0.06874758234036067,0.9448003977300649,0.5277913961177412,1.0,0.6113012940021457,0.13030141380655072,0.03237435531913146,0.10119863234874238
entry_valid_n,0.8766023859420062,0.612172414503598,-0.19430135991780667,0.5656601988947314,0.39250138661149536,0.6113012940021457,1.0,0.12017014631315139,0.16594485186134958,0.12273571590563785
mfi_diverge_n,0.0715719985701651,0.11796123774650333,0.0773590413621699,0.11416953428890274,-0.03974397479456412,0.13030141380655072,0.12017014631315139,1.0,-0.07859519196713603,-0.010785753602214152
bb_width_pctl,0.1529948792934928,0.06317282410549632,-0.9024729855014486,0.026691070886501075,0.12666108840147386,0.03237435531913146,0.16594485186134958,-0.07859519196713603,1.0,-0.15715491963123848
adv_cr,0.06531755140380584,0.12328455171927108,0.14974262837880836,0.11304707727558783,0.07107652484735914,0.10119863234874238,0.12273571590563785,-0.010785753602214152,-0.15715491963123848,1.0
