state,n,win_pct,avg_ret,med_ret,std_ret,sharpe,max_dd,max_up,profit_factor,skew,insufficient
LATE + RIDING_UPPER,134,54.5,0.772,0.682,3.796,1.44,-9.45,21.26,1.77,1.14,False
NONE + MID_BAND_BROKEN,263,54.4,0.511,0.533,3.612,1.01,-9.9,16.04,1.45,0.49,False
ALL (baseline),640,52.7,0.51,0.232,3.7,0.98,-10.54,21.26,1.45,0.62,False
NONE + CONSOLIDATING,45,42.2,0.149,-0.429,3.361,0.32,-5.27,11.33,1.13,1.41,False
NONE + RIDING_UPPER,112,45.5,-0.108,-0.358,3.752,-0.2,-10.54,11.85,0.92,0.14,False
DEVELOPING + RIDING_UPPER,27,,,,,,,,,,True
FRESH + RIDING_UPPER,10,,,,,,,,,,True
LATE + CONSOLIDATING,5,,,,,,,,,,True
LATE + FIRST_DIP,15,,,,,,,,,,True
LATE + MID_BAND_BROKEN,7,,,,,,,,,,True
NONE + FIRST_DIP,22,,,,,,,,,,True
