entry_bar,bars_held,pnl_pct,peak_pnl,exit_reason,entry_date,symbol,fold
400,30,5.8161,6.9885,MAX,2022-11-02,GOLDBEES,1
444,26,1.2274,4.9927,SMA_BREAK,2023-01-04,GOLDBEES,1
418,6,-0.1987,1.7886,SMA_BREAK,2024-12-09,GOLDETF,1
440,30,10.9473,10.9473,MAX,2025-01-09,GOLDETF,1
381,4,-1.1535,2.2896,TRAIL,2022-10-04,IVZINGOLD,1
404,30,6.2881,6.6892,MAX,2022-11-09,IVZINGOLD,1
385,7,-1.8194,1.3784,TRAIL,2023-08-25,SILVERBEES,1
421,11,-1.4538,0.2682,SMA_BREAK,2023-10-18,SILVERBEES,1
439,16,2.2298,6.1389,TRAIL,2023-11-15,SILVERBEES,1
378,3,-2.9255,0.0,TRAIL,2023-09-04,SILVERIETF,1
408,11,-1.2936,0.3132,SMA_BREAK,2023-10-18,SILVERIETF,1
426,14,2.7397,5.6286,TRAIL,2023-11-15,SILVERIETF,1
392,30,6.7906,7.3652,MAX,2022-10-20,NIFTYBEES,1
428,3,-1.9399,0.1764,SMA_BREAK,2022-12-13,SETFNIF50,1
432,3,-1.5527,0.0,SMA_BREAK,2022-12-19,SETFNIF50,1
416,15,0.1257,2.8373,SMA_BREAK,2022-11-25,JUNIORBEES,1
464,14,-0.5208,0.9549,SMA_BREAK,2023-02-02,NV20IETF,1
443,3,-2.6911,0.0,SMA_BREAK,2023-01-03,BANKBEES,1
391,30,6.8244,7.1753,MAX,2022-10-19,SETFNIFBK,1
390,30,28.5348,28.5348,MAX,2022-10-18,PSUBNKBEES,1
452,3,-2.7392,0.0,SMA_BREAK,2023-01-16,PSUBNKBEES,1
406,30,6.8593,10.3661,SMA_BREAK,2024-08-20,FINIETF,1
478,9,-1.6873,2.4372,TRAIL,2024-12-06,FINIETF,1
390,30,9.6259,10.1361,MAX,2022-10-20,ITBEES,1
451,26,3.9517,6.9889,SMA_BREAK,2023-01-17,ITBEES,1
432,25,3.4426,5.2459,SMA_BREAK,2023-04-03,PHARMABEES,1
